,品名,规格（客户看板）,长度/mm,支/件,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
型材,镀锌角钢,2.5,6000,400,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,3,6000,400,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,3,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,3,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,3,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,3,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,3,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,3,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,,,,,,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4,6000,300,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4.5,6000,292,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,4.5,6000,237,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,,,,,,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,200,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5,6000,150,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5.6,6000,230,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,5.6,6000,185,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,,,,,,,,,,,,
型材,镀锌角钢,6.3,,,,,,,,,,,,,
型材,镀锌角钢,6.3,,,,,,,,,,,,,
型材,镀锌角钢,6.3,,,,,,,,,,,,,
型材,镀锌角钢,6.3,,,,,,,,,,,,,
型材,镀锌角钢,6.3,,,,,,,,,,,,,
型材,镀锌角钢,6.3,,131,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,182,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,182,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,182,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,131,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,131,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,131,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,149,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,131,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,131,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,6.3,,131,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,7,,,,,,,,,,,,,
型材,镀锌角钢,7,,158,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,7,,158,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,7,,131,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,7,,113,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,7,,113,,,唐山朋钢,,,,,,,,
型材,镀锌角钢,7.5,,,,,,,,,,,,,
型材,镀锌角钢,7.5,,149,,,唐山朋钢,,,,,,,,
