,品名,厚度/mm,宽度/mm,长度/mm,kg/块,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
板材,卷板,1.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,1.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,1.8,1260,,,Q235B,,,,,,,,,,
板材,卷板,1.8,1500,,,Q235B,,,,,,,,,,
板材,卷板,2,1260,,,Q235B,,,,,,,,,,
板材,卷板,2,1500,,,Q235B,,,,,,,,,,
板材,卷板,2.35,1260,,,Q235B,,,,,,,,,,
板材,卷板,2.35,1500,,,Q235B,,,,,,,,,,
板材,卷板,2.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,2.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,3,1260,,,Q235B,,,,,,,,,,
板材,卷板,3,1500,,,Q235B,,,,,,,,,,
板材,卷板,3.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,3.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,3.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,3.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,4,1260,,,Q235B,,,,,,,,,,
板材,卷板,4,1500,,,Q235B,,,,,,,,,,
板材,卷板,4.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,4.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,4.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,4.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,5,1260,,,Q235B,,,,,,,,,,
板材,卷板,5,1500,,,Q235B,,,,,,,,,,
板材,卷板,5.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,5.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,5.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,5.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,6,1260,,,Q235B,,,,,,,,,,
板材,卷板,6,1500,,,Q235B,,,,,,,,,,
板材,卷板,6.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,6.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,6.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,6.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,7,1260,,,Q235B,,,,,,,,,,
板材,卷板,7,1500,,,Q235B,,,,,,,,,,
板材,卷板,7.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,7.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,7.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,7.75,1500,,,Q235B,,,,,,,,,,
