,品名,型号,长度/mm,米重/kg,支/件,材质,执行标准,品牌/厂家,提货地,过磅/元,理计/元,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,22,,2.98,,,,,,,,,,,,
棒材,螺纹钢,22,,2.98,,,,,,,,,,,,
棒材,螺纹钢,25,,3.85,,,,,,,,,,,,
棒材,螺纹钢,25,,3.85,,,,,,,,,,,,
棒材,螺纹钢,28,,4.83,,,,,,,,,,,,
棒材,螺纹钢,28,,4.83,,,,,,,,,,,,
棒材,螺纹钢,32,,6.31,,,,,,,,,,,,
棒材,螺纹钢,32,,6.31,,,,,,,,,,,,
棒材,螺纹钢,36,,7.99,,,,,,,,,,,,
棒材,螺纹钢,36,,7.99,,,,,,,,,,,,
棒材,螺纹钢,40,,9.87,,,,,,,,,,,,
棒材,螺纹钢,40,,9.87,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,22,,2.98,,,,,,,,,,,,
棒材,螺纹钢,22,,2.98,,,,,,,,,,,,
棒材,螺纹钢,25,,3.85,,,,,,,,,,,,
棒材,螺纹钢,25,,3.85,,,,,,,,,,,,
棒材,螺纹钢,28,,4.83,,,,,,,,,,,,
棒材,螺纹钢,28,,4.83,,,,,,,,,,,,
棒材,螺纹钢,32,,6.31,,,,,,,,,,,,
棒材,螺纹钢,32,,6.31,,,,,,,,,,,,
棒材,螺纹钢,36,,7.99,,,,,,,,,,,,
棒材,螺纹钢,36,,7.99,,,,,,,,,,,,
棒材,螺纹钢,40,,9.87,,,,,,,,,,,,
棒材,螺纹钢,40,,9.87,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,22,,2.98,,,,,,,,,,,,
棒材,螺纹钢,22,,2.98,,,,,,,,,,,,
棒材,螺纹钢,25,,3.85,,,,,,,,,,,,
棒材,螺纹钢,25,,3.85,,,,,,,,,,,,
棒材,螺纹钢,28,,4.83,,,,,,,,,,,,
棒材,螺纹钢,28,,4.83,,,,,,,,,,,,
棒材,螺纹钢,32,,6.31,,,,,,,,,,,,
棒材,螺纹钢,32,,6.31,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,22,,2.98,,,,,,,,,,,,
棒材,螺纹钢,22,,2.98,,,,,,,,,,,,
棒材,螺纹钢,25,,3.85,,,,,,,,,,,,
棒材,螺纹钢,25,,3.85,,,,,,,,,,,,
棒材,螺纹钢,28,,4.83,,,,,,,,,,,,
棒材,螺纹钢,28,,4.83,,,,,,,,,,,,
棒材,螺纹钢,32,,6.31,,,,,,,,,,,,
棒材,螺纹钢,32,,6.31,,,,,,,,,,,,
棒材,螺纹钢,36,,7.99,,,,,,,,,,,,
棒材,螺纹钢,36,,7.99,,,,,,,,,,,,
棒材,螺纹钢,40,,9.87,,,,,,,,,,,,
棒材,螺纹钢,40,,9.87,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,12,,0.88,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,14,,1.21,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,16,,1.58,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,18,,2,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
棒材,螺纹钢,20,,2.47,,,,,,,,,,,,
