,品名,型号,米重/kg,长度/mm,支/件,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
矿用品,锚杆钢,16s,,,,,,,,,,,,,,
矿用品,锚杆钢,16s,,,,,,,,,,,,,,
矿用品,锚杆钢,16s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20p,,,,,,,,,,,,,,
矿用品,锚杆钢,20p,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22p,,,,,,,,,,,,,,
矿用品,锚杆钢,22p,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18s,,,,,,,,,,,,,,
矿用品,锚杆钢,18p,,,,,,,,,,,,,,
矿用品,锚杆钢,18p,,,,,,,,,,,,,,
矿用品,锚杆钢,18p1,,,,,,,,,,,,,,
矿用品,锚杆钢,18p1,,,,,,,,,,,,,,
矿用品,锚杆钢,20p,,,,,,,,,,,,,,
矿用品,锚杆钢,20p,,,,,,,,,,,,,,
矿用品,锚杆钢,20p,,,,,,,,,,,,,,
矿用品,锚杆钢,20p1,,,,,,,,,,,,,,
矿用品,锚杆钢,20p1,,,,,,,,,,,,,,
矿用品,锚杆钢,20p1,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,20s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22s,,,,,,,,,,,,,,
矿用品,锚杆钢,22p,,,,,,,,,,,,,,
矿用品,锚杆钢,22p,,,,,,,,,,,,,,
矿用品,锚杆钢,22p1,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,9#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,11#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,矿工钢,12#,,,,,,,,,,,,,,
矿用品,轻轨,8kg,,,,,,,,,,,,,,
矿用品,轻轨,8kg,,,,,,,,,,,,,,
矿用品,轻轨,8kg,,,,,,,,,,,,,,
矿用品,轻轨,8kg,,,,,,,,,,,,,,
矿用品,轻轨,8kg,,,,,,,,,,,,,,
矿用品,轻轨,8kg,,,,,,,,,,,,,,
矿用品,轻轨,8kg,,,,,,,,,,,,,,
矿用品,轻轨,8kg,,,,,,,,,,,,,,
矿用品,轻轨,12kg,,,,,,,,,,,,,,
矿用品,轻轨,12kg,,,,,,,,,,,,,,
矿用品,轻轨,12kg,,,,,,,,,,,,,,
矿用品,轻轨,12kg,,,,,,,,,,,,,,
矿用品,轻轨,12kg,,,,,,,,,,,,,,
矿用品,轻轨,12kg,,,,,,,,,,,,,,
矿用品,轻轨,12kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,18kg,,,,,,,,,,,,,,
矿用品,轻轨,22kg,,,,,,,,,,,,,,
矿用品,轻轨,22kg,,,,,,,,,,,,,,
