,品名,型号,壁厚/mm,长度/mm,支重/kg,支/件,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
管材,螺旋管,219,6000,32.02,,,,,,,,,,,,,
管材,螺旋管,219,6000,37.1,,,,,,,,,,,,,
管材,螺旋管,273,6000,40.01,,,,,,,,,,,,,
管材,螺旋管,273,6000,46.42,,,,,,,,,,,,,
管材,螺旋管,325,6000,55.4,,,,,,,,,,,,,
管材,螺旋管,325,6000,63.04,,,,,,,,,,,,,
管材,螺旋管,377,6000,64.37,,,,,,,,,,,,,
管材,螺旋管,377,6000,73.3,,,,,,,,,,,,,
管材,螺旋管,426,6000,72.83,,,,,,,,,,,,,
管材,螺旋管,426,6000,82.97,,,,,,,,,,,,,
管材,螺旋管,478,6000,92.23,,,,,,,,,,,,,
管材,螺旋管,529,6000,103.29,,,,,,,,,,,,,
管材,螺旋管,630,6000,123.22,,,,,,,,,,,,,
管材,螺旋管,630,6000,153.4,,,,,,,,,,,,,
管材,螺旋管,720,6000,140.97,,,,,,,,,,,,,
管材,螺旋管,720,6000,175.6,,,,,,,,,,,,,
管材,螺旋管,820,6000,200.26,,,,,,,,,,,,,
管材,螺旋管,920,6000,224.92,,,,,,,,,,,,,
管材,螺旋管,1020,6000,249.58,,,,,,,,,,,,,
管材,无缝管,8,6000,0.24,,,,,,,,,,,,,
管材,无缝管,8,6000,0.296,,,,,,,,,,,,,
管材,无缝管,10,6000,0.314,,,,,,,,,,,,,
管材,无缝管,10,6000,0.395,,,,,,,,,,,,,
管材,无缝管,12,6000,0.388,,,,,,,,,,,,,
管材,无缝管,12,6000,0.493,,,,,,,,,,,,,
管材,无缝管,14,6000,0.592,,,,,,,,,,,,,
管材,无缝管,14,6000,0.709,,,,,,,,,,,,,
管材,无缝管,16,6000,0.691,,,,,,,,,,,,,
管材,无缝管,16,6000,0.832,,,,,,,,,,,,,
管材,无缝管,18,6000,0.789,,,,,,,,,,,,,
管材,无缝管,18,6000,1.11,,,,,,,,,,,,,
管材,无缝管,20,6000,0.888,,,,,,,,,,,,,
管材,无缝管,20,6000,1.258,,,,,,,,,,,,,
管材,无缝管,22,6000,1.2,,,,,,,,,,,,,
管材,无缝管,22,6000,1.406,,,,,,,,,,,,,
管材,无缝管,25,6000,1.39,,,,,,,,,,,,,
管材,无缝管,25,6000,1.628,,,,,,,,,,,,,
管材,无缝管,28,6000,1.57,,,,,,,,,,,,,
管材,无缝管,28,6000,1.85,,,,,,,,,,,,,
管材,无缝管,32,6000,2.15,,,,,,,,,,,,,
管材,无缝管,32,6000,2.46,,,,,,,,,,,,,
管材,无缝管,38,6000,2.59,,,,,,,,,,,,,
管材,无缝管,38,6000,2.98,,,,,,,,,,,,,
管材,无缝管,38,6000,3.35,,,,,,,,,,,,,
管材,无缝管,42,6000,2.89,,,,,,,,,,,,,
管材,无缝管,42,6000,3.75,,,,,,,,,,,,,
管材,无缝管,45,6000,3.11,,,,,,,,,,,,,
管材,无缝管,45,6000,3.58,,,,,,,,,,,,,
管材,无缝管,48,6000,3.84,,,,,,,,,,,,,
管材,无缝管,48,6000,4.34,,,,,,,,,,,,,
管材,无缝管,50,6000,5.55,,,,,,,,,,,,,
管材,无缝管,51,6000,3.55,,,,,,,,,,,,,
管材,无缝管,51,6000,4.1,,,,,,,,,,,,,
管材,无缝管,51,6000,4.64,,,,,,,,,,,,,
管材,无缝管,57,6000,4.62,,,,,,,,,,,,,
管材,无缝管,57,6000,5.23,,,,,,,,,,,,,
管材,无缝管,60,6000,5.52,,,,,,,,,,,,,
管材,无缝管,63.5,6000,5.13,,,,,,,,,,,,,
管材,无缝管,70,6000,6.51,,,,,,,,,,,,,
管材,无缝管,73,6000,6.81,,,,,,,,,,,,,
管材,无缝管,76,6000,7.1,,,,,,,,,,,,,
管材,无缝管,76,6000,8.75,,,,,,,,,,,,,
管材,无缝管,83,6000,7.79,,,,,,,,,,,,,
管材,无缝管,89,6000,8.71,,,,,,,,,,,,,
管材,无缝管,89,6000,9.62,,,,,,,,,,,,,
管材,无缝管,108,6000,10.26,,,,,,,,,,,,,
管材,无缝管,108,6000,11.49,,,,,,,,,,,,,
管材,无缝管,108,6000,12.7,,,,,,,,,,,,,
管材,无缝管,127,6000,17.9,,,,,,,,,,,,,
管材,无缝管,133,6000,13.92,,,,,,,,,,,,,
管材,无缝管,133,6000,15.48,,,,,,,,,,,,,
管材,无缝管,133,6000,18.35,,,,,,,,,,,,,
管材,无缝管,140,6000,16.65,,,,,,,,,,,,,
管材,无缝管,159,6000,18.99,,,,,,,,,,,,,
管材,无缝管,159,6000,22.64,,,,,,,,,,,,,
管材,无缝管,159,6000,29.79,,,,,,,,,,,,,
管材,无缝管,168,6000,23.97,,,,,,,,,,,,,
管材,无缝管,168,6000,31.57,,,,,,,,,,,,,
管材,无缝管,219,6000,36,,,,,,,,,,,,,
管材,无缝管,219,6000,41.63,,,,,,,,,,,,,
管材,无缝管,273,6000,52.28,,,,,,,,,,,,,
管材,无缝管,273,6000,64.86,,,,,,,,,,,,,
管材,无缝管,325,6000,75.91,,,,,,,,,,,,,
